hpo_id	hpo_name	ncbi_gene_id	gene_symbol	disease_id
HP:0002188	Delayed CNS myelination	197258	FCSK	OMIM:618324
HP:0002188	Delayed CNS myelination	85365	ALG2	OMIM:607906
HP:0002188	Delayed CNS myelination	3798	KIF5A	OMIM:617235
HP:0002188	Delayed CNS myelination	27086	FOXP1	OMIM:613670
HP:0002188	Delayed CNS myelination	8218	CLTCL1	ORPHA:453510
HP:0002188	Delayed CNS myelination	25836	NIPBL	OMIM:122470
HP:0002188	Delayed CNS myelination	9725	TMEM63A	OMIM:618688
HP:0002188	Delayed CNS myelination	23219	FBXO28	OMIM:619777
HP:0002188	Delayed CNS myelination	50628	GEMIN4	OMIM:617913
HP:0002188	Delayed CNS myelination	2146	EZH2	OMIM:277590
HP:0002188	Delayed CNS myelination	84978	FRMD5	OMIM:620094
HP:0002188	Delayed CNS myelination	404672	GTF2H5	OMIM:616395
HP:0002188	Delayed CNS myelination	51645	PPIL1	OMIM:619301
HP:0002188	Delayed CNS myelination	8295	TRRAP	OMIM:618454
HP:0002188	Delayed CNS myelination	10159	ATP6AP2	OMIM:300423
HP:0002188	Delayed CNS myelination	7040	TGFB1	OMIM:618213
HP:0002188	Delayed CNS myelination	51362	CDC40	OMIM:619302
HP:0002188	Delayed CNS myelination	58497	PRUNE1	OMIM:617481
HP:0002188	Delayed CNS myelination	133686	NADK2	OMIM:616034
HP:0002188	Delayed CNS myelination	51693	TRAPPC2L	OMIM:618331
HP:0002188	Delayed CNS myelination	84188	FAR1	OMIM:616154
HP:0002188	Delayed CNS myelination	27133	KCNH5	OMIM:620537
HP:0002188	Delayed CNS myelination	5813	PURA	OMIM:616158
HP:0002188	Delayed CNS myelination	22907	DHX30	OMIM:617804
HP:0002188	Delayed CNS myelination	11338	U2AF2	OMIM:620535
HP:0002188	Delayed CNS myelination	51013	EXOSC1	OMIM:619304
HP:0002188	Delayed CNS myelination	5910	RAP1GDS1	OMIM:620655
HP:0002188	Delayed CNS myelination	2744	GLS	OMIM:618339
HP:0002188	Delayed CNS myelination	81603	TRIM8	OMIM:619428
HP:0002188	Delayed CNS myelination	339453	TMEM240	OMIM:607454
HP:0002188	Delayed CNS myelination	9230	RAB11B	OMIM:617807
HP:0002188	Delayed CNS myelination	55906	ZC4H2	OMIM:301041
HP:0002188	Delayed CNS myelination	79876	UBA5	OMIM:617132
HP:0002188	Delayed CNS myelination	30000	TNPO2	OMIM:619556
HP:0002188	Delayed CNS myelination	2187	FANCB	OMIM:300514
HP:0002188	Delayed CNS myelination	2290	FOXG1	OMIM:613454
HP:0002188	Delayed CNS myelination	54973	INTS11	OMIM:620428
HP:0002188	Delayed CNS myelination	83548	COG3	OMIM:620546
HP:0002188	Delayed CNS myelination	51412	ACTL6B	OMIM:618468
HP:0002188	Delayed CNS myelination	55746	NUP133	OMIM:618349
HP:0002188	Delayed CNS myelination	85358	SHANK3	OMIM:606232
HP:0002188	Delayed CNS myelination	79796	ALG9	OMIM:608776
HP:0002188	Delayed CNS myelination	23028	KDM1A	OMIM:616728
HP:0002188	Delayed CNS myelination	170302	ARX	OMIM:308350
